Players,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Khris Middleton,29,68,68,2269,511,1074,0.476,151,365,0.414,360,709,0.508,0.546,212,236,0.898,54,352,406,370,74,9,178,160,1385
Giannis Antetokounmpo,26,61,61,2013,626,1100,0.569,67,221,0.303,559,879,0.636,0.6,398,581,0.685,97,574,671,357,72,73,207,168,1717
Jrue Holiday,30,59,56,1907,414,823,0.503,111,283,0.392,303,540,0.561,0.57,107,136,0.787,73,195,268,357,96,37,127,98,1046
Brook Lopez,32,70,70,1902,322,640,0.503,95,281,0.338,227,359,0.632,0.577,120,142,0.845,104,243,347,50,40,103,64,149,859
Donte DiVincenzo,24,66,66,1814,253,603,0.42,131,346,0.379,122,257,0.475,0.528,51,71,0.718,81,299,380,203,72,15,91,112,688
Pat Connaughton,28,69,4,1575,168,387,0.434,101,272,0.371,67,115,0.583,0.565,31,40,0.775,63,269,332,81,49,23,33,99,468
Bobby Portis,25,66,7,1372,313,598,0.523,74,157,0.471,239,441,0.542,0.585,54,73,0.74,124,342,466,71,52,26,56,115,754
Bryn Forbes,27,70,10,1354,250,529,0.473,154,341,0.452,96,188,0.511,0.618,47,61,0.77,11,101,112,45,24,1,44,77,701
D.J. Augustin,33,37,6,713,71,192,0.37,49,129,0.38,22,63,0.349,0.497,36,40,0.9,11,39,50,110,20,1,34,33,227
Thanasis Antetokounmpo,28,57,3,551,67,137,0.489,7,29,0.241,60,108,0.556,0.515,25,49,0.51,54,70,124,46,22,10,43,74,166
P.J. Tucker,35,20,1,397,18,46,0.391,13,33,0.394,5,13,0.385,0.533,3,5,0.6,18,38,56,16,10,2,7,34,52
Jeff Teague,32,21,2,334,45,96,0.469,10,26,0.385,35,70,0.5,0.521,38,44,0.864,5,26,31,59,8,5,25,13,138
Jordan Nwora,22,30,2,274,62,135,0.459,28,62,0.452,34,73,0.466,0.563,19,25,0.76,9,51,60,7,16,7,24,22,171
Sam Merrill,24,30,2,233,32,72,0.444,21,47,0.447,11,25,0.44,0.59,4,4,1,6,24,30,21,8,1,10,17,89
Torrey Craig,30,18,0,201,18,46,0.391,8,22,0.364,10,24,0.417,0.478,1,2,0.5,13,30,43,16,9,7,5,24,45
Mamadi Diakite,24,14,1,141,16,40,0.4,1,8,0.125,15,32,0.469,0.413,11,14,0.786,8,26,34,8,7,6,3,16,44
D.J. Wilson,24,12,0,105,16,43,0.372,10,28,0.357,6,15,0.4,0.488,1,2,0.5,3,22,25,3,1,4,4,13,43
Axel Toupane,28,8,1,61,4,11,0.364,1,2,0.5,3,9,0.333,0.409,5,7,0.714,0,6,6,4,2,3,0,6,14
Rodions Kurucs,22,5,0,34,5,8,0.625,3,4,0.75,2,4,0.5,0.813,2,2,1,3,6,9,4,3,0,4,8,15
Justin Jackson,25,1,0,33,3,9,0.333,2,6,0.333,1,3,0.333,0.444,1,2,0.5,2,4,6,1,0,0,1,1,9
Elijah Bryant,25,1,0,32,6,13,0.462,1,5,0.2,5,8,0.625,0.5,3,3,1,2,4,6,3,0,1,4,4,16
Jaylen Adams,24,7,0,18,1,8,0.125,0,2,0,1,6,0.167,0.125,0,0,,0,3,3,2,0,0,0,1,2