TMs,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
MIL,23,5570,968,2095,0.462,258,804,0.321,710,1291,0.55,343,478,0.718,295,831,1126,525,180,97,293,413,2537
PHX,22,5280,900,1871,0.481,246,654,0.376,654,1217,0.537,352,409,0.861,175,764,939,511,142,92,262,434,2398
LAC,19,4560,743,1557,0.477,263,691,0.381,480,866,0.554,371,451,0.823,167,615,782,395,129,81,203,370,2120
ATL,18,4320,701,1562,0.449,211,615,0.343,490,947,0.517,300,376,0.798,164,599,763,364,121,79,224,382,1913
PHI,12,2880,510,1029,0.496,134,341,0.393,376,688,0.547,241,352,0.685,108,428,536,299,96,74,154,276,1395
BKN,12,2905,488,1034,0.472,163,427,0.382,325,607,0.535,211,243,0.868,99,412,511,271,85,58,139,254,1350
UTA,11,2640,437,926,0.472,198,480,0.413,239,446,0.536,214,267,0.801,103,363,466,216,57,45,148,237,1286
DEN,10,2450,421,922,0.457,147,385,0.382,274,537,0.51,159,209,0.761,117,319,436,249,61,43,112,204,1148
DAL,7,1680,274,602,0.455,95,245,0.388,179,357,0.501,99,140,0.707,72,212,284,145,39,15,77,142,742
POR,6,1490,252,530,0.475,97,235,0.413,155,295,0.525,116,136,0.853,56,194,250,137,31,33,71,139,717
LAL,6,1440,206,498,0.414,59,197,0.299,147,301,0.488,114,147,0.776,63,196,259,116,40,24,83,123,585
MEM,5,1200,221,472,0.468,52,158,0.329,169,314,0.538,81,102,0.794,56,150,206,110,40,20,52,103,575
BOS,5,1200,192,441,0.435,64,183,0.35,128,258,0.496,113,137,0.825,63,144,207,105,32,35,65,105,561
WAS,5,1200,203,443,0.458,35,121,0.289,168,322,0.522,109,145,0.752,53,164,217,112,24,24,67,120,550
NYK,5,1200,172,432,0.398,52,152,0.342,120,280,0.429,89,109,0.817,59,173,232,93,29,14,61,99,485
MIA,4,985,141,357,0.395,48,143,0.336,93,214,0.435,62,81,0.765,36,133,169,86,29,14,56,82,392